"SampleF.","SampleB.","SampleA.","SampleE.","SampleD.","SampleC.","geneName"
"ENSMUSG00000000001",258.536123415501,257.045743815229,262.374042138599,288.32853595693,407.888921868065,503.260426518821,"Gnai3"
"ENSMUSG00000000003",0,0,0,0,0,0,"Pbsn"
"ENSMUSG00000000028",41.4521157701183,53.1869367726497,23.3521797368007,43.9770140401751,1.75099053279237,5.92021897755937,"Cdc45"
"ENSMUSG00000000031",0.324131820803807,0,2.77464409413,2.74621420141925,9.89073606819212,4.57225876453632,"H19"
"ENSMUSG00000000037",11.3306914860209,16.7939625199553,8.79149672434795,9.54220683272931,9.52367211195927,14.4872615160979,"Scml2"
"ENSMUSG00000000049",0,0,0,0,0,0,"Apoh"
"ENSMUSG00000000056",60.3461845277916,71.3639071421968,84.0566285429837,45.7299661488415,54.6235554533237,27.6182688948844,"Narf"
"ENSMUSG00000000058",181.57110517707,120.780713643017,101.867074418451,149.553183842761,109.568366619566,62.0332946736956,"Cav2"
"ENSMUSG00000000078",452.438215977128,437.541814707427,780.37295491384,534.523102476027,700.64790611208,1347.1252853501,"Klf6"
"ENSMUSG00000000085",56.2197812605111,25.7514557636322,84.1692846445833,34.4071898782214,61.955511058695,83.6434912892549,"Scmh1"
"ENSMUSG00000000088",172.876564452534,171.632424553742,66.6480685818307,79.3110012947429,54.2755420227667,55.608886908157,"Cox5a"
"ENSMUSG00000000093",103.570194018861,128.11997889223,95.3320474651503,85.9202514026381,44.407261654991,4.17066651811178,"Tbx2"
"ENSMUSG00000000094",7.78723263365788,6.44628824494075,14.3419894419158,14.0446564804693,0,0,"Tbx4"
"ENSMUSG00000000103",0,0,0,0,0,0,"Zfy2"
"ENSMUSG00000000120",222.714853303715,282.02511076906,210.067962998428,300.720879909233,3.28942678925859,2.78044434540785,"Ngfr"
"ENSMUSG00000000125",2.33616978989911,4.02893015384371,4.21823218872346,1.65231252697381,1.6447133946293,0,"Wnt3"
"ENSMUSG00000000126",4.6721649690721,0.805753324153323,4.21808985866359,1.65262293760644,16.4464924878592,11.1213643249484,"Wnt9a"
"ENSMUSG00000000127",49.3257126072961,64.5435343256543,39.5294810957105,33.099876416728,45.001664385872,66.2604240975802,"Fer"
"ENSMUSG00000000131",105.410323645216,109.622887258778,165.846499167882,172.943007462948,83.5455113285048,106.60457408733,"Xpo6"
"ENSMUSG00000000134",93.4068964474513,37.9849733823366,153.020005964638,49.5459758316803,77.5304768848661,60.9727601499457,"Tfe3"
"ENSMUSG00000000142",30.2884577248704,31.0867941285444,134.502358470001,95.1312196288647,76.65260767051,100.228330857132,"Axin2"
"ENSMUSG00000000148",21.3823355916957,21.544332420212,27.703224199948,21.0954513347406,27.3620573871922,15.6605390269543,"Brat1"
"ENSMUSG00000000149",131.111524883299,126.97821528076,179.494407085539,149.475362042209,105.591421100665,83.8436874346916,"Gna12"
"ENSMUSG00000000154",3.39192744923366,2.16428487615064,1.83735843302596,1.10949905091322,8.83517092838401,13.0691391204796,"Slc22a18"
"ENSMUSG00000000157",0,0,0,0,0,0,"Itgb2l"
"ENSMUSG00000000159",0,0,0.843646437744693,0,0,0,"Igsf5"
"ENSMUSG00000000167",2.33616978989911,0.805786030768742,0,1.65231252697381,0,0,"Pih1d2"
"ENSMUSG00000000168",106.378477931808,89.5219867587031,109.894959682069,84.5010755419596,57.6387187598596,53.1700566031705,"Dlat"
"ENSMUSG00000000171",121.480829074754,132.954695076842,89.4265224009374,99.9649078819155,139.80063854349,155.70488334284,"Sdhd"
"ENSMUSG00000000182",0,0,0,0,0,0,"Fgf23"
"ENSMUSG00000000183",0,0,0,0,0,0,"Fgf6"
"ENSMUSG00000000184",169.354345691508,331.037009257231,101.507501576476,158.918380016153,104.160129064988,612.689699032185,"Ccnd2"
"ENSMUSG00000000194",146.580030283525,143.224995830637,64.8213038712063,82.3259112290254,98.7334326813374,154.587245960116,"Gpr107"
"ENSMUSG00000000197",18.6893583191929,11.2810044307624,5.90552506421285,3.30462505394762,8.22356697314647,4.17066651811178,"Nalcn"
"ENSMUSG00000000202",0,0,0,0,1.64471339462929,0,"Btbd17"
"ENSMUSG00000000204",0.78819996251655,0.815592071254004,3.17653879147822,1.67242040042299,3.32945758035831,4.22142158603982,"Slfn4"
"ENSMUSG00000000214",0,0,0,0,0,0,"Th"
"ENSMUSG00000000215",0,0,0,0,0,0,"Ins2"
"ENSMUSG00000000216",0,0,0.843646437744693,0,0,6.95111086351963,"Scnn1g"
"ENSMUSG00000000223",7.37499719682,12.0782137664624,10.4754057799736,11.7236960868561,28.1813472801666,35.1943129436755,"Drp2"
"ENSMUSG00000000244",3.01428881819845,2.19483438063833,3.02686956487084,2.48391892748903,6.0254190560782,1.20115071392404,"Tspan32"
"ENSMUSG00000000247",25.9863022520468,13.4446818325611,9.38428333127887,9.18971673624941,3.99428856749571,0,"Lhx2"
"ENSMUSG00000000248",0,0,0,0,0,0,"Clec2g"
"ENSMUSG00000000253",4.01956799956037,2.49555481242854,6.60241948052476,1.7057619495157,5.09375141924224,0,"Gmpr"
"ENSMUSG00000000263",0,0,0,0,0,0,"Glra1"
"ENSMUSG00000000266",127.752893386498,129.105321416885,167.241731391366,266.559144221494,50.9190112034996,33.5839861147987,"Mid2"
"ENSMUSG00000000275",42.0493236458454,46.8576711844659,45.8330650148581,68.5407281731628,36.5085158401044,28.2879699697446,"Trim25"
"ENSMUSG00000000276",10.7484195700854,26.4146530325434,28.7857928635443,9.52272116917434,14.1883470875527,8.0122244999521,"Dgke"
"ENSMUSG00000000278",217.263790460617,187.748145169117,187.289509179322,140.446564792774,786.173002632803,722.915529806042,"Scpep1"
"ENSMUSG00000000282",26.8278964895808,38.8643423800036,52.3162505220178,23.9668406519485,80.0568754428978,47.8947304233219,"Mnt"
"ENSMUSG00000000290",2.80184998368347,13.6263146938396,53.0605852053845,69.8541174027987,10.7966568497252,7.09605124429007,"Itgb2"
"ENSMUSG00000000295",26.8827767103319,20.2349554272162,18.5444151229807,11.8598997203619,10.8537117003214,7.33942966450722,"Hddc2"
"ENSMUSG00000000296",19.4680815824926,10.4752183999936,1.68729287548939,0,1.64471339462929,0,"Tpd52l1"
"ENSMUSG00000000301",2.22994113294783,4.00899535749376,8.34961266768033,1.20505499325768,4.03036313605115,0,"Pemt"
